dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
TT-medium,e-Diagnosis,HDBS-R,0.0,0.0,0.0,16.56600680952381,0.4461562499750397,0.1555555555555555,-0.013524984822581328,0.736756944394524,0.0042315762331243565
TT-medium,e-Diagnosis,HDBS-SBD,0.0,0.0,0.0,14.251962416666668,0.47578308464160285,0.21111111111111108,-0.00686278477979665,0.7404550581720946,0.0059053510457144
TT-medium,e-Diagnosis,K-S test,0.0,0.0,0.0,38.23747493333333,0.6308107046662476,1.0,0.03329993733640234,0.26162140933249506,0.008816572698313641
TT-medium,e-Diagnosis,MetricSifter,0.0,0.0,0.0,22.704172033333332,0.8211757757410061,0.9944444444444445,0.07643716027156001,0.6479071070375676,0.018372293762302257
TT-medium,e-Diagnosis,NSigma,0.0,0.0,0.0,36.081808366666664,0.6649764117065358,1.0,0.0395934313886398,0.3299528234130716,0.00977856068550869
TT-medium,e-Diagnosis,None,0.0,0.0,0.0,53.8309149,0.5,1.0,-10.0,0.0,0.006597933914487331
TT-small,CG+PageRank,BIRCH,0.0,0.0,0.0,0.5888968333333333,0.6322518125776292,1.0,0.03250211067683672,0.26450362515525844,0.00806907977398412
TT-small,CG+PageRank,FluxInfer-AD,0.0,0.0,0.0,1.0688896333333333,0.632355306958709,1.0,0.03269061863297447,0.26471061391741796,0.00809851619155595
TT-small,CG+PageRank,HDBS-R,0.0,0.0,0.0,1.159283,0.6411745754992628,0.7619047619047619,0.030927717794950856,0.5204443890937638,0.0093834842201371
TT-small,CG+PageRank,HDBS-SBD,0.0,0.0,0.0,0.9948623333333333,0.4698760633998442,0.41666666666666663,-0.00723531022588225,0.5230854601330219,0.0049061924823153
TT-small,CG+PageRank,K-S test,0.0,0.0,0.0,1.0743302333333333,0.632355306958709,1.0,0.03269061863297447,0.26471061391741796,0.00809851619155595
TT-small,CG+PageRank,MetricSifter,0.0,0.0,0.0,0.9668604666666667,0.7544710282816236,0.9666666666666666,0.05658622488256575,0.5422753898965805,0.01297450822182825
TT-small,CG+PageRank,NSigma,0.0,0.0,0.0,0.9710034000000001,0.6450732158306225,1.0,0.03472513499138466,0.29014643166124493,0.008369529650891331
TT-small,CG+PageRank,None,0.0,0.0,0.0,1.3210559666666666,0.5,1.0,-10.0,0.0,0.0058832437786622
TT-small,RCD,BIRCH,0.075,0.1744443,0.1285,989.3907444333333,0.6322518125776292,1.0,0.03250211067683672,0.26450362515525844,0.00806907977398412
TT-small,RCD,FluxInfer-AD,0.14166669999999998,0.1744443,0.1285,972.5165790333333,0.632355306958709,1.0,0.03269061863297447,0.26471061391741796,0.00809851619155595
