dataset,localization_method,run_id_loc,reduction_method,chaos_comp,chaos_type,ac@2,ac@5,avg@5,elapsed_time_loc,run_id_tsdr,tp,tn,fn,fp,specificity,recall,proportion,f1_score,mcc,bacc,reduction_rate,elapsed_time_tsdr,num_metrics(reduced),num_metrics(filtered),num_metrics(raw),num_found_cause_metrics,rs_ac@2,rs_ac@5,rs_avg@5,elapsed_time_sum
TT-medium,e-Diagnosis,TSDRLOC-1913,MetricSifter,ts-basic-service,pod-memory-hog,0.0,0.0,0.0,25.571548,TSDR-1817,5.333333333333333,756.3333333333334,0.0,551.3333333333334,0.5778674510277207,1.0,0.0095895633814767,0.0189952771671381,0.0743114099342885,0.7889337255138603,0.5755153970442713,1.9766,556,1313,2898,5.333333333333333,0.0190863036252853,0.0470286129028606,0.0284001084826084,27.548148
TT-medium,RCD,TSDRLOC-1921,MetricSifter,ts-basic-service,pod-memory-hog,0.0,0.0,0.0,3243.571923,TSDR-1817,5.333333333333333,756.3333333333334,0.0,551.3333333333334,0.5778674510277207,1.0,0.0095895633814767,0.0189952771671381,0.0743114099342885,0.7889337255138603,0.5755153970442713,1.9766,556,1313,2898,5.333333333333333,0.0190863036252853,0.0470286129028606,0.0284001084826084,3245.548523
TT-medium,CG+PageRank,TSDRLOC-1929,MetricSifter,ts-basic-service,pod-memory-hog,0.0,0.0,0.0,2.05213,TSDR-1817,5.333333333333333,756.3333333333334,0.0,551.3333333333334,0.5778674510277207,1.0,0.0095895633814767,0.0189952771671381,0.0743114099342885,0.7889337255138603,0.5755153970442713,1.9766,556,1313,2898,5.333333333333333,0.0190863036252853,0.0470286129028606,0.0284001084826084,4.0287299999999995
TT-medium,RCD,TSDRLOC-1953,MetricSifter,ts-basic-service,pod-memory-hog,0.0,0.0,0.0,2807.62506,TSDR-1817,5.333333333333333,756.3333333333334,0.0,551.3333333333334,0.5778674510277207,1.0,0.0095895633814767,0.0189952771671381,0.0743114099342885,0.7889337255138603,0.5755153970442713,1.9766,556,1313,2898,5.333333333333333,0.0190863036252853,0.0470286129028606,0.0284001084826084,2809.60166
TT-medium,RS,,MetricSifter,ts-basic-service,pod-memory-hog,0.0190863036252853,0.0470286129028606,0.0284001084826084,,TSDR-1817,5.333333333333333,756.3333333333334,0.0,551.3333333333334,0.5778674510277207,1.0,0.0095895633814767,0.0189952771671381,0.0743114099342885,0.7889337255138603,0.5755153970442713,1.9766,556,1313,2898,5.333333333333333,0.0190863036252853,0.0470286129028606,0.0284001084826084,
TT-medium,e-Diagnosis,TSDRLOC-1913,MetricSifter,ts-order-service,pod-cpu-hog,0.0,0.0,0.0,21.937637,TSDR-1817,3.0,814.0,0.0,467.0,0.6354127613804158,1.0,0.0063862254808593,0.0126913607295765,0.0637007993262971,0.817706380690208,0.6339281308483782,1.6402,470,1284,2898,3.0,0.0127316466588651,0.031525684489564,0.0189962397647195,23.577837
TT-medium,RCD,TSDRLOC-1921,MetricSifter,ts-order-service,pod-cpu-hog,0.0,0.0,0.0,894.689566,TSDR-1817,3.0,814.0,0.0,467.0,0.6354127613804158,1.0,0.0063862254808593,0.0126913607295765,0.0637007993262971,0.817706380690208,0.6339281308483782,1.6402,470,1284,2898,3.0,0.0127316466588651,0.031525684489564,0.0189962397647195,896.3297660000001
TT-medium,CG+PageRank,TSDRLOC-1929,MetricSifter,ts-order-service,pod-cpu-hog,0.0,0.0,0.0,1.497682,TSDR-1817,3.0,814.0,0.0,467.0,0.6354127613804158,1.0,0.0063862254808593,0.0126913607295765,0.0637007993262971,0.817706380690208,0.6339281308483782,1.6402,470,1284,2898,3.0,0.0127316466588651,0.031525684489564,0.0189962397647195,3.1378820000000003
TT-medium,RCD,TSDRLOC-1953,MetricSifter,ts-order-service,pod-cpu-hog,0.0,0.0,0.0,547.220124,TSDR-1817,3.0,814.0,0.0,467.0,0.6354127613804158,1.0,0.0063862254808593,0.0126913607295765,0.0637007993262971,0.817706380690208,0.6339281308483782,1.6402,470,1284,2898,3.0,0.0127316466588651,0.031525684489564,0.0189962397647195,548.8603240000001
TT-medium,RS,,MetricSifter,ts-order-service,pod-cpu-hog,0.0127316466588651,0.031525684489564,0.0189962397647195,,TSDR-1817,3.0,814.0,0.0,467.0,0.6354127613804158,1.0,0.0063862254808593,0.0126913607295765,0.0637007993262971,0.817706380690208,0.6339281308483782,1.6402,470,1284,2898,3.0,0.0127316466588651,0.031525684489564,0.0189962397647195,
