,anomaly_type,num_node,num_edge,func_type,noise_type,weight_generator,num_normal_samples,num_abnormal_samples,reduction_method,num_remained,num_total,reduction_rate,root_cause_recall,recall,precision,specificity,f1_score,bacc,elapsed_time_tsdr,trial_no
253,0,100,750,identity,uniform,uniform,160,20,MetricSifter,56.0,100.0,0.44000000000000006,1.0,0.9863498718844632,0.9866165413533835,0.9911093627065302,0.9861876926297288,0.9887296172954967,0.08497106321156025,3.0
254,0,100,750,identity,uniform,uniform,160,20,NSigma,56.4,100.0,0.43600000000000005,1.0,0.9713952946657349,0.9471356499525514,0.9635668804399635,0.9569867895545314,0.9674810875528493,0.010790129750967025,3.0
255,0,100,750,identity,uniform,uniform,160,20,None,100.0,100.0,0.0,1.0,1.0,0.5660000000000001,0.0,0.6949845947382308,0.5,6.579793989658356e-06,3.0
256,1,50,100,identity,exponential,normal,160,20,BIRCH,35.0,50.0,0.3,1.0,0.95,0.39059650771278676,0.40739808578518255,0.5288227543982019,0.6786990428925913,0.018939624540507793,3.0
257,1,50,100,identity,exponential,normal,160,20,FluxInfer-AD,18.2,50.0,0.636,0.16666666666666666,0.15385964912280703,0.08511904761904762,0.5377496159754225,0.10231203007518797,0.34580463254911475,2.546580816432834,3.0
258,1,50,100,identity,exponential,normal,160,20,HDBS-R,8.0,50.0,0.8400000000000001,0.4666666666666666,0.24657894736842106,0.3904761904761905,0.8670459647879003,0.28994949494949496,0.5568124560781607,1.4106915233656765,3.0
259,1,50,100,identity,exponential,normal,160,20,HDBS-SBD,5.4,50.0,0.892,0.0,0.18210526315789471,0.4342857142857143,0.9142349048800661,0.250989010989011,0.5481700840189804,0.08892876040190459,3.0
260,1,50,100,identity,exponential,normal,160,20,K-S test,14.6,50.0,0.708,0.9333333333333332,0.8466666666666667,0.79,0.9218084603568475,0.8029950441715148,0.884237563511757,0.010912621952593326,3.0
261,1,50,100,identity,exponential,normal,160,20,MetricSifter,13.6,50.0,0.728,0.8,0.725,0.7238840579710144,0.9317393359328843,0.7197278911564625,0.8283696679664422,0.04258108753710985,3.0
262,1,50,100,identity,exponential,normal,160,20,NSigma,40.4,50.0,0.192,1.0,1.0,0.3491487394592985,0.2716371263145457,0.4954883118862835,0.6358185631572728,0.005342147126793861,3.0
263,1,50,100,identity,exponential,normal,160,20,None,50.0,50.0,0.0,1.0,1.0,0.27599999999999997,0.0,0.41688615151883524,0.5,4.915334284305573e-06,3.0
264,1,50,100,identity,exponential,uniform,160,20,BIRCH,32.6,50.0,0.348,1.0,1.0,0.3702474937343358,0.4666326456222206,0.5193818316348838,0.7333163228111104,0.019723297096788883,3.0
265,1,50,100,identity,exponential,uniform,160,20,FluxInfer-AD,18.6,50.0,0.628,0.13333333333333333,0.13669467787114847,0.09512670565302143,0.5580052732618891,0.11090909090909092,0.3473499755665188,2.5874711863696573,3.0
266,1,50,100,identity,exponential,uniform,160,20,HDBS-R,7.6,50.0,0.8480000000000001,0.05,0.15529411764705883,0.2641269841269841,0.8498046220018954,0.18674420975299397,0.5025493698244772,1.4325464153662324,3.0
267,1,50,100,identity,exponential,uniform,160,20,HDBS-SBD,5.4,50.0,0.892,0.05,0.16352941176470587,0.38190476190476186,0.913208305994994,0.21479039479039477,0.53836885887985,0.08952664732933044,3.0
